observation.date,common.name,observation.count,juvenile.count,egg.count,phenological.stage,unclear how many eggs,problematic,breed,behaviour,notes,age.sex,breeding.code,breeding.category,behavior.code,breeding.possibility,sampling.time,survey.id,doy,spec.code,time,num.observers,sampling.effort,effort.multiplier,observers,date,period,year,month,day,survey.num,transect,start.time,end.time,rec.num,end.time.filled,transect.id,scientific.name,locality,protocol.type
2013-06-29,Common Eider,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,75,29-Jun-13_LATE_2,180,cOEI,16:02:00,2,150,22.25,"Edward McLeod, Samuel McLeod",29-Jun-13,LATE,2013,6,29,2,3,15:06:00,16:21:00,31,FALSE,29-Jun-13_LATE_2_3,NA,NA,NA
2014-06-09,Semipalmated Plover,1,0,3,nest_w_eggs,NA,NA,nest: 3 eggs,,,NA,NA,NA,NA,NA,119,9-Jun-14_EARLY_1,160,SEPL,12:48:00,2,238,17.85,"Edward McLeod, Andrew",09-Jun-14,EARLY,2014,6,9,1,1,12:24:00,14:23:00,16,FALSE,9-Jun-14_EARLY_1_1,NA,NA,NA
2014-06-29,Lapland Longspur,1,NA,NA,nest,NA,NA,nesting,,,NA,NA,NA,NA,NA,88,29-Jun-14_LATE_3,180,LALO,15:00:00,2,176,20.95,"Edward McLeod, Deon Arey",29-Jun-14,LATE,2014,6,29,3,1,14:55:00,16:23:00,3,FALSE,29-Jun-14_LATE_3_1,NA,NA,NA
2014-06-29,Semipalmated Plover,2,NA,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,88,29-Jun-14_LATE_3,180,SEPL,15:14:00,2,176,20.95,"Edward McLeod, Deon Arey",29-Jun-14,LATE,2014,6,29,3,1,14:55:00,16:23:00,8,FALSE,29-Jun-14_LATE_3_1,NA,NA,NA
2015-06-09,Savannah Sparrow,1,1,3,nest_w_eggs_chicks,NA,NA,"nest: 3 eggs, 1 chick.",,,NA,NA,NA,NA,NA,112,9-Jun-15_EARLY_1,160,SAVS,16:25:00,2,224,18.55,"Edward McLeod, Paden Lennie",09-Jun-15,EARLY,2015,6,9,1,2,15:38:00,17:30:00,7,FALSE,9-Jun-15_EARLY_1_2,NA,NA,NA
2016-06-09,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,78,9-Jun-16_EARLY_1,161,SEPL,18:00:00,3,234,18.05,"Samuel McLeod, Deon Arey, Cameron Eckert",09-Jun-16,EARLY,2016,6,9,1,1,17:50:00,19:08:00,13,FALSE,9-Jun-16_EARLY_1_1,NA,NA,NA
2016-06-09,Common Eider,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,78,9-Jun-16_EARLY_1,161,COEI,18:17:00,3,234,18.05,"Samuel McLeod, Deon Arey, Cameron Eckert",09-Jun-16,EARLY,2016,6,9,1,2,17:50:00,19:08:00,9,FALSE,9-Jun-16_EARLY_1_2,NA,NA,NA
2016-06-09,Sandhill Crane,1,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,,NA,NA,NA,NA,NA,78,9-Jun-16_EARLY_1,161,SACR,18:24:00,3,234,18.05,"Samuel McLeod, Deon Arey, Cameron Eckert",09-Jun-16,EARLY,2016,6,9,1,2,17:50:00,19:08:00,11,FALSE,9-Jun-16_EARLY_1_2,NA,NA,NA
2016-06-09,Common Redpoll,2,0,4,nest_w_eggs,NA,NA,nest: 4 egs,,,NA,NA,NA,NA,NA,78,9-Jun-16_EARLY_1,161,CORE,19:06:00,3,234,18.05,"Samuel McLeod, Deon Arey, Cameron Eckert",09-Jun-16,EARLY,2016,6,9,1,3,17:50:00,19:08:00,25,FALSE,9-Jun-16_EARLY_1_3,NA,NA,NA
2016-06-29,Common Eider,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,96,29-Jun-16_LATE_2,181,COEI,15:47:00,2,192,20.15,"Edward McLeod, Ricky Joe",29-Jun-16,LATE,2016,6,29,2,3,14:56:00,16:32:00,1,FALSE,29-Jun-16_LATE_2_3,NA,NA,NA
2017-06-10,Green-winged Teal,1,0,9,nest_w_eggs,NA,NA,nest: 9 eggs,,,NA,NA,NA,NA,NA,93,10-Jun-17_EARLY_1,161,GWTE,11:25:00,3,279,15.8,"Samuel McLeod, Shane Goesen, Cameron Eckert",10-Jun-17,EARLY,2017,6,10,1,1,11:19:00,12:52:00,4,FALSE,10-Jun-17_EARLY_1_1,NA,NA,NA
2017-06-10,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,93,10-Jun-17_EARLY_1,161,SEPL,12:25:00,3,279,15.8,"Samuel McLeod, Shane Goesen, Cameron Eckert",10-Jun-17,EARLY,2017,6,10,1,3,11:19:00,12:52:00,14,FALSE,10-Jun-17_EARLY_1_3,NA,NA,NA
2017-06-10,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,93,10-Jun-17_EARLY_1,161,SEPL,12:33:00,3,279,15.8,"Samuel McLeod, Shane Goesen, Cameron Eckert",10-Jun-17,EARLY,2017,6,10,1,3,11:19:00,12:52:00,20,FALSE,10-Jun-17_EARLY_1_3,NA,NA,NA
2017-06-10,Semipalmated Sandpiper,1,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,,NA,NA,NA,NA,NA,93,10-Jun-17_EARLY_1,161,SESA,12:35:00,3,279,15.8,"Samuel McLeod, Shane Goesen, Cameron Eckert",10-Jun-17,EARLY,2017,6,10,1,3,11:19:00,12:52:00,22,FALSE,10-Jun-17_EARLY_1_3,NA,NA,NA
2017-06-29,Semipalmated Plover,1,1,0,nest_w_chicks,NA,NA,nest: 1 chick,,,NA,NA,NA,NA,NA,75,29-Jun-17_LATE_2,180,SEPL,18:54:00,2,150,22.25,"Edward McLeod, Ricky Joe",29-Jun-17,LATE,2017,6,29,2,1,18:45:00,20:00:00,6,FALSE,29-Jun-17_LATE_2_1,NA,NA,NA
2017-06-29,Semipalmated Plover,1,0,1,nest_w_eggs,NA,NA,nest: 1 egg,,,NA,NA,NA,NA,NA,75,29-Jun-17_LATE_2,180,SEPL,19:01:00,2,150,22.25,"Edward McLeod, Ricky Joe",29-Jun-17,LATE,2017,6,29,2,1,18:45:00,20:00:00,8,FALSE,29-Jun-17_LATE_2_1,NA,NA,NA
2017-06-29,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,75,29-Jun-17_LATE_2,180,SEPL,19:40:00,2,150,22.25,"Edward McLeod, Ricky Joe",29-Jun-17,LATE,2017,6,29,2,3,18:45:00,20:00:00,5,FALSE,29-Jun-17_LATE_2_3,NA,NA,NA
2017-06-29,Common Eider,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,75,29-Jun-17_LATE_2,180,COEI,20:00:00,2,150,22.25,"Edward McLeod, Ricky Joe",29-Jun-17,LATE,2017,6,29,2,3,18:45:00,20:00:00,17,FALSE,29-Jun-17_LATE_2_3,NA,NA,NA
2018-06-29,Common Eider,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,98,29-Jun-18_LATE_2,180,COEI,14:01:00,2,196,19.95,"Samuel McLeod, Dannie Gordon",29-Jun-18,LATE,2018,6,29,2,3,13:02:00,14:40:00,13,FALSE,29-Jun-18_LATE_2_3,NA,NA,NA
2018-06-29,Semipalmated Sandpiper,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,98,29-Jun-18_LATE_2,180,SESA,14:23:00,2,196,19.95,"Samuel McLeod, Dannie Gordon",29-Jun-18,LATE,2018,6,29,2,3,13:02:00,14:40:00,21,FALSE,29-Jun-18_LATE_2_3,NA,NA,NA
2018-06-29,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,98,29-Jun-18_LATE_2,180,SEPL,14:27:00,2,196,19.95,"Samuel McLeod, Dannie Gordon",29-Jun-18,LATE,2018,6,29,2,3,13:02:00,14:40:00,24,FALSE,29-Jun-18_LATE_2_3,NA,NA,NA
2019-06-09,Lapland Longspur,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,90,9-Jun-19_EARLY_1,160,LALO,NA,3,270,16.25,"Shaen Goesen, Dannie Gordon, Cameron Eckert",09-Jun-19,EARLY,2019,6,9,1,1,12:35:00,14:05:00,12,FALSE,9-Jun-19_EARLY_1_1,NA,NA,NA
2019-06-09,Semipalmated Plover,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,90,9-Jun-19_EARLY_1,160,SEPL,NA,3,270,16.25,"Shaen Goesen, Dannie Gordon, Cameron Eckert",09-Jun-19,EARLY,2019,6,9,1,1,12:35:00,14:05:00,11,FALSE,9-Jun-19_EARLY_1_1,NA,NA,NA
2019-06-09,Lapland Longspur,1,0,5,nest_w_eggs,NA,NA,nest: 5 eggs,,,NA,NA,NA,NA,NA,90,9-Jun-19_EARLY_1,160,LALO,NA,3,270,16.25,"Shaen Goesen, Dannie Gordon, Cameron Eckert",09-Jun-19,EARLY,2019,6,9,1,2,12:35:00,14:05:00,7,FALSE,9-Jun-19_EARLY_1_2,NA,NA,NA
2019-06-09,Sandhill Crane,1,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,,NA,NA,NA,NA,NA,90,9-Jun-19_EARLY_1,160,SACR,NA,3,270,16.25,"Shaen Goesen, Dannie Gordon, Cameron Eckert",09-Jun-19,EARLY,2019,6,9,1,2,12:35:00,14:05:00,8,FALSE,9-Jun-19_EARLY_1_2,NA,NA,NA
2019-06-29,Sandhill Crane,1,NA,0,nest_w_chicks,unclear how many chicks,NA,nest: hatched,,,NA,NA,NA,NA,NA,82,29-Jun-19_LATE_2,180,SACR,13:41:00,2,164,21.55,"Edward McLeod, Samuel McLeod",29-Jun-19,LATE,2019,6,29,2,2,13:09:00,14:31:00,5,FALSE,29-Jun-19_LATE_2_2,NA,NA,NA
2019-06-29,Common Eider,1,0,NA,nest_w_eggs,unclear how many eggs,NA,nest: eggs,,,NA,NA,NA,NA,NA,82,29-Jun-19_LATE_2,180,COEI,14:11:00,2,164,21.55,"Edward McLeod, Samuel McLeod",29-Jun-19,LATE,2019,6,29,2,3,13:09:00,14:31:00,20,FALSE,29-Jun-19_LATE_2_3,NA,NA,NA
2019-06-29,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,82,29-Jun-19_LATE_2,180,SEPL,14:13:00,2,164,21.55,"Edward McLeod, Samuel McLeod",29-Jun-19,LATE,2019,6,29,2,3,13:09:00,14:31:00,21,FALSE,29-Jun-19_LATE_2_3,NA,NA,NA
2020-06-29,Semipalmated Sandpiper,1,4,0,nest_w_chicks,NA,NA,nest: 4 hatched,,,NA,NA,NA,NA,NA,34,29-Jun-20_LATE_2,181,SESA,13:07:00,2,68,26.35,"Samuel McLeod, Shane Goesen",29-Jun-20,LATE,2020,6,29,2,1,13:06:00,13:40:00,4,FALSE,29-Jun-20_LATE_2_1,NA,NA,NA
2020-06-29,Snow Bunting,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,34,29-Jun-20_LATE_2,181,SNBU,13:12:00,2,68,26.35,"Samuel McLeod, Shane Goesen",29-Jun-20,LATE,2020,6,29,2,1,13:06:00,13:40:00,6,FALSE,29-Jun-20_LATE_2_1,NA,NA,NA
2020-06-29,Semipalmated Plover,1,3,1,nest_w_eggs_chicks,NA,NA,"nest: 1 egg, 3 chcks",,,NA,NA,NA,NA,NA,34,29-Jun-20_LATE_2,181,SEPL,14:22:00,2,68,26.35,"Samuel McLeod, Shane Goesen",29-Jun-20,LATE,2020,6,29,2,3,13:06:00,13:40:00,14,FALSE,29-Jun-20_LATE_2_3,NA,NA,NA
2020-06-29,Semipalmated Plover,4,4,0,nest_w_chicks,NA,NA,nest: 4 chicks,,4 chicks,NA,NA,NA,NA,NA,34,29-Jun-20_LATE_2,181,SEPL,14:23:00,2,68,26.35,"Samuel McLeod, Shane Goesen",29-Jun-20,LATE,2020,6,29,2,3,13:06:00,13:40:00,15,FALSE,29-Jun-20_LATE_2_3,NA,NA,NA
2021-06-29,Semipalmated Sandpiper,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,SESA,15:45:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,1,15:34:00,17:13:00,6,FALSE,29-Jun-21_LATE_2_1,NA,NA,NA
2021-06-29,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,SEPL,16:54:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,6,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2021-06-29,Glaucous Gull,2,0,2,nest_w_eggs,NA,NA,nest: 2 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,GLGU,16:56:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,9,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2021-06-29,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,SEPL,16:59:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,11,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2021-06-29,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,SEPL,17:05:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,15,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2021-06-29,Common Eider,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,COEI,17:07:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,18,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2021-06-29,Common Eider,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,99,29-Jun-21_LATE_2,180,COEI,17:10:00,2,198,19.85,"Samuel McLeod, Keegan Arey",29-Jun-21,LATE,2021,6,29,2,3,15:34:00,17:13:00,20,FALSE,29-Jun-21_LATE_2_3,NA,NA,NA
2022-06-09,Lapland Longspur,1,0,5,nest_w_eggs,NA,NA,nest: 5 eggs,,,NA,NA,NA,NA,NA,90,9-Jun-22_EARLY_1,160,LALO,17:18:00,3,270,16.25,"Jeremy Hansen, Keegan Arey, Cameron Eckert",09-Jun-22,EARLY,2022,6,9,1,2,16:50:00,18:20:00,3,FALSE,9-Jun-22_EARLY_1_2,NA,NA,NA
2022-06-26,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,displaying,,NA,NA,NA,NA,NA,111,26-Jun-22_LATE_2,177,SEPL,NA,3,333,13.1,"Samuel McLeod, Desmond Rogers, Cameron Eckert",26-Jun-22,LATE,2022,6,26,2,1,10:27:00,12:18:00,10,FALSE,26-Jun-22_LATE_2_1,NA,NA,NA
2022-06-26,American Pipit,2,5,0,nest_w_chicks,NA,NA,nest: 5 chicks,displaying,,NA,NA,NA,NA,NA,111,26-Jun-22_LATE_2,177,AMPI,NA,3,333,13.1,"Samuel McLeod, Desmond Rogers, Cameron Eckert",26-Jun-22,LATE,2022,6,26,2,3,10:27:00,12:18:00,1,FALSE,26-Jun-22_LATE_2_3,NA,NA,NA
2022-06-26,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,singing,,NA,NA,NA,NA,NA,111,26-Jun-22_LATE_2,177,SEPL,NA,3,333,13.1,"Samuel McLeod, Desmond Rogers, Cameron Eckert",26-Jun-22,LATE,2022,6,26,2,3,10:27:00,12:18:00,14,FALSE,26-Jun-22_LATE_2_3,NA,NA,NA
2023-06-12,Semipalmated Plover,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,39,12-Jun-23_EARLY_1,163,SEPL,14:48:00,3,117,23.9,"Samuel McLead, Alan Kogiak, Cameron Eckert",12-Jun-23,EARLY,2023,6,12,1,1,14:29:00,15:08:00,12,FALSE,12-Jun-23_EARLY_1_1,NA,NA,NA
2023-06-12,Lapland Longspur,2,0,6,nest_w_eggs,NA,NA,nest: 6 eggs,,,NA,NA,NA,NA,NA,39,12-Jun-23_EARLY_1,163,LALO,15:00:00,3,117,23.9,"Samuel McLead, Alan Kogiak, Cameron Eckert",12-Jun-23,EARLY,2023,6,12,1,2,14:29:00,15:08:00,4,FALSE,12-Jun-23_EARLY_1_2,NA,NA,NA
2023-06-27,Common Eider,1,NA,NA,nest,NA,NA,,nest,,NA,NA,NA,NA,NA,34,27-Jun-23_LATE_2,178,COEI,15:00:00,3,102,24.65,"Jeremy Hansen, Keegan Arey, Cameron Eckert",27-Jun-23,LATE,2023,6,27,2,1,15:00:00,15:34:00,1,FALSE,27-Jun-23_LATE_2_1,NA,NA,NA
2023-06-27,Bluethroat,1,4,0,nest_w_chicks,NA,NA,nest: 4 chicks,,,NA,NA,NA,NA,NA,34,27-Jun-23_LATE_2,178,BLUE,15:32:00,3,102,24.65,"Jeremy Hansen, Keegan Arey, Cameron Eckert",27-Jun-23,LATE,2023,6,27,2,2,15:00:00,15:34:00,8,FALSE,27-Jun-23_LATE_2_2,NA,NA,NA
2023-06-27,Semipalmated Plover,2,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,34,27-Jun-23_LATE_2,178,SEPL,16:00:00,3,102,24.65,"Jeremy Hansen, Keegan Arey, Cameron Eckert",27-Jun-23,LATE,2023,6,27,2,3,15:00:00,15:34:00,17,FALSE,27-Jun-23_LATE_2_3,NA,NA,NA
2023-06-27,Common Eider,1,0,4,nest_w_eggs,NA,NA,nest: 4 eggs,,,NA,NA,NA,NA,NA,34,27-Jun-23_LATE_2,178,COEI,16:08:00,3,102,24.65,"Jeremy Hansen, Keegan Arey, Cameron Eckert",27-Jun-23,LATE,2023,6,27,2,3,15:00:00,15:34:00,22,FALSE,27-Jun-23_LATE_2_3,NA,NA,NA
1973-07-18,peep sp.,1,NA,NA,nest_w_chicks,NA,NA,NA,NA,Downy young,,FL,C4,FL,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calidris sp. (peep sp.),Qikiqtaruk (Herschel Island),Historical
1973-07-18,Long-tailed Jaeger,4,NA,NA,nest_w_chicks,NA,NA,NA,NA,"Single and a pair with a downy young; gray legs, white at base of 2 primaries, lack of breast band, well-defined cap, tail feathers equalling length of rest of body",,FL,C4,FL,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stercorarius longicaudus,Qikiqtaruk (Herschel Island),Historical
1973-07-19,Rock Ptarmigan,7,NA,NA,NA,NA,Y,NA,NA,Brood of 6; Inland from base of Adlavik Spit,,FL,C4,FL,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lagopus muta,Qikiqtaruk (Herschel Island),Historical
1973-07-18,Rough-legged Hawk,2,NA,NA,NA,NA,Y,NA,NA,Pair defending eyrie along creek draining into Orca Cove,,ON,C4,ON,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buteo lagopus,Qikiqtaruk (Herschel Island),Historical
1973-08-12,Black Guillemot,NA,NA,NA,nest,NA,Y,NA,NA,At least 10 active nests found in abandoned buildings,,ON,C4,ON,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cepphus grylle,Qikiqtaruk (Herschel Island),Historical
1973-08-07,Horned Lark,4,3,0,nest_w_eggs,NA,NA,NA,NA,female feeding 3 recently fledged young,"Unknown Sex, Juvenile (3); Unknown Sex, Adult (1)",FY,C4,FY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila alpestris,Qikiqtaruk (Herschel Island),Historical
1974-07-13,Black Guillemot,25,NA,NA,nest,NA,NA,NA,NA,total 25 adult; Exact count; Nest inside abandoned mission house. Photo; Arctic Tundra,,ON,C4,ON,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cepphus grylle,Qikiqtaruk (Herschel Island),Historical
1974-07-13,Rough-legged Hawk,4,3,0,nest_w_chicks,NA,NA,NA,NA,4 adult; Exact count; Nest with 3 nestlings; About one week old; Arctic Tundra,,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buteo lagopus,Qikiqtaruk (Herschel Island),Historical
1974-07-14,Rough-legged Hawk,NA,3,0,nest_w_chicks,NA,NA,NA,NA,"Not counted; Nest with 3 nestlings about 1 week old, on top of clay cliff in a ravine 1/2 mile south of the peninsula on Herschel island; Cliff Face",,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buteo lagopus,Qikiqtaruk (Herschel Island),Historical
1974-07-13,Savannah Sparrow,NA,4,0,nest_w_chicks,NA,NA,NA,NA,3 + Nest with four young about half grown; Arctic Coast,,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Passerculus sandwichensis,Qikiqtaruk (Herschel Island),Historical
1974-07-14,Semipalmated Sandpiper,NA,NA,NA,nest_w_chicks,NA,NA,NA,NA,Not counted; Two days old. site 3; Arctic Coast,,FL,C4,FL,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calidris pusilla,Qikiqtaruk (Herschel Island),Historical
1974-07-13,Semipalmated Sandpiper,NA,NA,NA,nest_w_chicks,NA,NA,NA,NA,Not counted; Five days old. site 3; Arctic Coast,,FL,C4,FL,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Calidris pusilla,Qikiqtaruk (Herschel Island),Historical
1974-07-13,Snow Bunting,10,3,0,nest_w_chicks,NA,NA,NA,NA,10 adult; Exact count; Nest with 3 nestlings; Nest - Two Nests Found: 3Y And 2Y (In Discarded Tincan); Arctic Tundra,,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plectrophenax nivalis,Qikiqtaruk (Herschel Island),Historical
1975-06-21,Black Guillemot,NA,NA,NA,nest_building,NA,NA,NA,NA,"Not counted; Seen carrying nesting material, Entering nest sites; Arctic Tundra",,NB,C4,NB,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cepphus grylle,Qikiqtaruk--Pauline Cove/Simpson Point,Historical
1975-06-21,Snowy Owl,NA,NA,NA,nest_w_chicks,NA,NA,NA,NA,"Adults not recorded; Nest with small yng, on tussock tundra; Approximate location: 69deg35""N 138deg58""W",,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bubo scandiacus,Qikiqtaruk (Herschel Island),Historical
1975-06-21,Tundra Swan,NA,NA,NA,NA,NA,NA,NA,NA,Adults not counted; On shore of small pond no information was taken on hatch date; Revisited on August 5 when it was found empty; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cygnus columbianus,Qikiqtaruk (Herschel Island),Historical
1976-06-03,Snow Bunting,NA,NA,NA,nest_building,NA,NA,NA,NA,Not counted; carrying nesting material; Habitat: arctic tundra,,CN,C4,CN,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plectrophenax nivalis,Qikiqtaruk (Herschel Island),Historical
1985-06-23,American Pipit,NA,6,0,nest_w_chicks,NA,NA,NA,NA,Not counted; Nest with 6 nestlings; Young about one day old.; Habitat: Arctic Coast,,NY,C4,NY,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anthus rubescens,Qikiqtaruk (Herschel Island),Historical
1985-06-16,American Pipit,NA,0,6,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 6 eggs; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Anthus rubescens,Qikiqtaruk (Herschel Island),Historical
1985-06-27,American Golden-Plover,NA,0,4,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 4 eggs; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pluvialis dominica,Qikiqtaruk (Herschel Island),Historical
1985-06-23,Red-throated Loon,NA,0,2,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 2 eggs; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Gavia stellata,Qikiqtaruk (Herschel Island),Historical
1985-06-20,Semipalmated Plover,NA,0,4,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 4 eggs; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charadrius semipalmatus,Qikiqtaruk (Herschel Island),Historical
1986-06-18,Rough-legged Hawk,NA,0,4,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 4 eggs; Start of incubation nest ,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buteo lagopus,Qikiqtaruk (Herschel Island),Historical
1986-06-12,Rough-legged Hawk,NA,0,4,nest_w_eggs,NA,NA,NA,NA,Not counted; Nest with 4 eggs; Habitat: Arctic Coast,,NE,C4,NE,Confirmed,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Buteo lagopus,Qikiqtaruk (Herschel Island),Historical
